WorkClass;Occupation;Education;Sexe;Race;Age;Relationship;Marital_satus;Native_Country;Hours_per_week;Salary
 Private; Craft-repair; 11th; Male; White;27; Other-relative; Never-married; United-States;60; <=50K
 Local-gov; Adm-clerical; Some-college; Female; White;65; Not-in-family; Widowed; United-States;35; <=50K
 Private; Handlers-cleaners; HS-grad; Male; Black;26; Own-child; Never-married; United-States;40; <=50K
 Private; Craft-repair; 12th; Male; White;21; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Craft-repair; HS-grad; Male; White;23; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Craft-repair; HS-grad; Male; White;34; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Craft-repair; HS-grad; Male; White;36; Husband; Married-civ-spouse; United-States;40; <=50K
 Local-gov; Adm-clerical; HS-grad; Female; White;46; Unmarried; Divorced; United-States;30; <=50K
 Private; Prof-specialty; Bachelors; Female; White;28; Not-in-family; Never-married; United-States;20; <=50K
 Private; Handlers-cleaners; Some-college; Male; White;22; Own-child; Never-married; United-States;20; <=50K
 Private; Other-service; 10th; Female; White;25; Wife; Married-civ-spouse; United-States;40; <=50K
 Private; Adm-clerical; Some-college; Female; Black;36; Unmarried; Widowed; United-States;40; <=50K
 Self-emp-inc; Prof-specialty; Masters; Male; White;52; Husband; Married-civ-spouse; United-States;60; >50K
 Local-gov; Exec-managerial; Some-college; Male; White;35; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Adm-clerical; Some-college; Female; White;24; Not-in-family; Never-married; United-States;40; <=50K
 Private; Adm-clerical; 11th; Female; Black;55; Unmarried; Separated; United-States;40; <=50K
 Private; Prof-specialty; Prof-school; Male; White;30; Not-in-family; Divorced; United-States;50; >50K
 Private; Farming-fishing; 10th; Male; White;17; Own-child; Never-married; United-States;40; <=50K
 Private; Craft-repair; Bachelors; Female; Black;47; Unmarried; Widowed; United-States;40; <=50K
 Private; Prof-specialty; Bachelors; Male; White;46; Husband; Married-civ-spouse; United-States;45; >50K
 Private; Handlers-cleaners; HS-grad; Male; White;30; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Transport-moving; Some-college; Male; White;48; Not-in-family; Divorced; United-States;53; <=50K
 Private; Other-service; Some-college; Female; White;21; Own-child; Never-married; United-States;37; <=50K
 Private; Other-service; Preschool; Female; White;31; Other-relative; Never-married; Mexico;35; <=50K
 Local-gov; Prof-specialty; Bachelors; Male; White;40; Husband; Married-civ-spouse; United-States;40; >50K
 Self-emp-not-inc; Tech-support; Bachelors; Female; White;31; Not-in-family; Never-married; United-States;40; <=50K
 Private; Sales; Masters; Female; White;50; Not-in-family; Divorced; United-States;50; >50K
 Private; Craft-repair; HS-grad; Male; White;50; Husband; Married-civ-spouse; United-States;15; <=50K
 Private; Other-service; 11th; Male; White;26; Other-relative; Never-married; Mexico;30; <=50K
 Private; Machine-op-inspct; HS-grad; Male; White;32; Husband; Married-civ-spouse; United-States;40; >50K
 Private; Prof-specialty; Some-college; Male; White;43; Unmarried; Divorced; United-States;45; <=50K
 Private; Adm-clerical; Bachelors; Female; White;31; Wife; Married-civ-spouse; United-States;40; <=50K
 Private; Adm-clerical; Some-college; Female; White;45; Unmarried; Divorced; United-States;40; <=50K
 Local-gov; Other-service; 9th; Male; White;57; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Adm-clerical; HS-grad; Female; White;46; Wife; Married-civ-spouse; United-States;52; >50K
 Local-gov; Adm-clerical; Some-college; Female; White;56; Not-in-family; Divorced; United-States;35; <=50K
 Private; Prof-specialty; Some-college; Female; White;30; Unmarried; Divorced; United-States;40; <=50K
 Private; Sales; Bachelors; Female; White;23; Not-in-family; Never-married; United-States;40; <=50K
 State-gov; Prof-specialty; Prof-school; Male; White;61; Husband; Married-civ-spouse; United-States;40; >50K
 Private; Sales; Assoc-voc; Male; White;51; Husband; Married-civ-spouse; United-States;40; >50K
 Private; Prof-specialty; Bachelors; Male; White;23; Own-child; Never-married; United-States;60; <=50K
 Self-emp-inc; Exec-managerial; HS-grad; Male; Black;62; Husband; Married-civ-spouse; United-States;72; >50K
 Private; Tech-support; HS-grad; Male; White;30; Husband; Married-civ-spouse; United-States;40; >50K
 Private; Other-service; Some-college; Male; Black;61; Not-in-family; Divorced; United-States;40; <=50K
 Private; Adm-clerical; Some-college; Male; White;30; Unmarried; Divorced; United-States;40; <=50K
 Private; Handlers-cleaners; HS-grad; Male; White;67; Husband; Married-civ-spouse; United-States;24; <=50K
 Private; Other-service; Some-college; Male; White;23; Own-child; Never-married; United-States;40; <=50K
 Private; Craft-repair; Bachelors; Male; White;39; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Adm-clerical; HS-grad; Female; Black;43; Not-in-family; Separated; United-States;32; <=50K
 Private; Adm-clerical; Bachelors; Female; White;23; Not-in-family; Never-married; United-States;60; <=50K
 Private; Priv-house-serv; 11th; Female; White;17; Own-child; Never-married; United-States;12; <=50K
 Federal-gov; Adm-clerical; Some-college; Male; White;38; Not-in-family; Divorced; United-States;40; >50K
 Private; Sales; Some-college; Male; White;22; Own-child; Never-married; United-States;34; <=50K
 Private; Prof-specialty; Some-college; Male; White;21; Own-child; Never-married; United-States;40; <=50K
 Private; Exec-managerial; Masters; Male; White;49; Husband; Married-civ-spouse; United-States;40; >50K
 Private; Exec-managerial; Bachelors; Male; Asian-Pac-Islander;26; Unmarried; Never-married; Vietnam;60; <=50K
 Private; Handlers-cleaners; 11th; Male; White;28; Other-relative; Never-married; United-States;40; <=50K
 Private; Sales; Some-college; Male; White;58; Husband; Married-civ-spouse; United-States;40; >50K
 Private; Other-service; Bachelors; Female; White;21; Own-child; Never-married; United-States;20; <=50K
 Private; Exec-managerial; HS-grad; Male; White;36; Not-in-family; Divorced; United-States;40; <=50K
 Private; Other-service; HS-grad; Male; White;36; Own-child; Never-married; United-States;37; <=50K
 Private; Exec-managerial; Prof-school; Male; White;60; Husband; Married-civ-spouse; United-States;40; >50K
 Private; Adm-clerical; HS-grad; Female; White;39; Unmarried; Divorced; United-States;40; <=50K
 Self-emp-not-inc; Prof-specialty; Bachelors; Female; White;34; Unmarried; Divorced; United-States;50; <=50K
 Private; Prof-specialty; Some-college; Female; White;47; Unmarried; Widowed; United-States;40; <=50K
 Private; Prof-specialty; Masters; Male; White;52; Husband; Married-civ-spouse; United-States;40; >50K
 Private; Prof-specialty; Bachelors; Male; White;33; Husband; Married-civ-spouse; United-States;40; >50K
 Self-emp-not-inc; Farming-fishing; Assoc-voc; Male; White;36; Husband; Married-civ-spouse; United-States;60; >50K
 Self-emp-not-inc; Exec-managerial; Masters; Male; White;53; Husband; Married-civ-spouse; United-States;40; >50K
 Private; Craft-repair; HS-grad; Female; White;50; Not-in-family; Divorced; United-States;45; <=50K
 Private; Handlers-cleaners; Some-college; Male; White;23; Own-child; Never-married; United-States;30; <=50K
 Private; Transport-moving; HS-grad; Male; White;31; Husband; Married-civ-spouse; United-States;65; <=50K
 Self-emp-not-inc; Sales; Bachelors; Male; White;43; Not-in-family; Never-married; United-States;45; <=50K
 Self-emp-not-inc; Prof-specialty; Prof-school; Male; White;51; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Other-service; HS-grad; Female; White;21; Not-in-family; Never-married; United-States;16; <=50K
 Self-emp-not-inc; Other-service; Prof-school; Female; White;40; Not-in-family; Divorced; United-States;35; <=50K
 Local-gov; Prof-specialty; Bachelors; Male; Asian-Pac-Islander;57; Husband; Married-civ-spouse; India;35; <=50K
 Private; Prof-specialty; Prof-school; Male; White;50; Husband; Married-civ-spouse; United-States;50; >50K
 Private; Other-service; HS-grad; Male; White;65; Not-in-family; Divorced; United-States;25; <=50K
 Private; Handlers-cleaners; HS-grad; Male; White;20; Own-child; Never-married; United-States;45; <=50K
 Self-emp-inc; Exec-managerial; Bachelors; Male; White;24; Husband; Married-civ-spouse; United-States;40; >50K
 Private; Machine-op-inspct; HS-grad; Male; White;35; Own-child; Never-married; United-States;48; <=50K
 Private; Prof-specialty; HS-grad; Male; White;26; Husband; Married-civ-spouse; United-States;40; <=50K
 Self-emp-not-inc; Sales; Masters; Male; White;54; Husband; Married-civ-spouse; United-States;50; <=50K
 Private; Sales; HS-grad; Male; White;24; Husband; Married-civ-spouse; Mexico;40; <=50K
 Private; Adm-clerical; Some-college; Male; White;25; Own-child; Never-married; United-States;40; <=50K
 Self-emp-inc; Sales; Some-college; Male; Asian-Pac-Islander;36; Unmarried; Divorced; United-States;55; <=50K
 Federal-gov; Exec-managerial; Bachelors; Male; White;56; Husband; Married-civ-spouse; United-States;40; >50K
 Private; Craft-repair; HS-grad; Male; White;19; Own-child; Never-married; United-States;40; <=50K
 Private; Farming-fishing; HS-grad; Male; White;26; Not-in-family; Never-married; United-States;40; <=50K
 Private; Craft-repair; 10th; Male; White;22; Unmarried; Never-married; United-States;40; <=50K
 Private; Sales; Some-college; Female; White;19; Own-child; Never-married; United-States;25; <=50K
 Local-gov; Adm-clerical; HS-grad; Male; White;55; Unmarried; Divorced; United-States;40; <=50K
 Private; Prof-specialty; Prof-school; Male; White;38; Not-in-family; Separated; United-States;35; >50K
 Private; Adm-clerical; Some-college; Female; Black;20; Own-child; Never-married; Haiti;40; <=50K
 Private; Prof-specialty; Bachelors; Male; White;50; Not-in-family; Divorced; United-States;45; >50K
 Local-gov; Adm-clerical; Assoc-voc; Female; White;39; Wife; Married-civ-spouse; United-States;37; <=50K
 Private; Adm-clerical; HS-grad; Female; White;19; Own-child; Separated; United-States;30; <=50K
 Private; Handlers-cleaners; HS-grad; Male; White;20; Own-child; Never-married; United-States;35; <=50K
 Self-emp-not-inc; Exec-managerial; 9th; Male; White;56; Other-relative; Married-civ-spouse; Columbia;50; <=50K
 Private; Machine-op-inspct; HS-grad; Male; White;37; Husband; Married-civ-spouse; United-States;48; >50K
 Private; Other-service; Some-college; Female; White;19; Own-child; Never-married; United-States;25; <=50K
 Local-gov; Prof-specialty; Masters; Female; White;52; Wife; Married-civ-spouse; United-States;40; >50K
 Federal-gov; Adm-clerical; HS-grad; Female; White;52; Unmarried; Divorced; United-States;40; <=50K
 Private; Other-service; HS-grad; Female; White;33; Unmarried; Divorced; United-States;40; <=50K
 Private; Exec-managerial; Bachelors; Female; White;23; Own-child; Never-married; United-States;45; <=50K
 Private; Exec-managerial; Some-college; Male; White;20; Own-child; Never-married; United-States;40; <=50K
 State-gov; Protective-serv; HS-grad; Male; White;71; Husband; Married-civ-spouse; United-States;28; <=50K
 State-gov; Prof-specialty; Masters; Male; White;29; Not-in-family; Never-married; United-States;40; <=50K
 Local-gov; Sales; Some-college; Female; White;19; Own-child; Never-married; United-States;16; <=50K
 Federal-gov; Adm-clerical; HS-grad; Female; White;52; Not-in-family; Divorced; United-States;40; <=50K
 Private; Sales; Some-college; Male; White;22; Own-child; Never-married; United-States;40; <=50K
 Private; Handlers-cleaners; HS-grad; Male; Black;22; Own-child; Never-married; United-States;40; <=50K
 Private; Craft-repair; Assoc-voc; Male; White;27; Own-child; Never-married; United-States;38; <=50K
 Private; Adm-clerical; HS-grad; Female; White;40; Wife; Married-civ-spouse; United-States;30; >50K
 Private; Exec-managerial; Bachelors; Female; White;31; Not-in-family; Never-married; United-States;40; <=50K
 Private; Other-service; 7th-8th; Male; White;28; Own-child; Separated; Mexico;60; <=50K
 Self-emp-not-inc; Exec-managerial; HS-grad; Male; White;50; Husband; Married-civ-spouse; United-States;32; <=50K
 Private; Other-service; HS-grad; Female; White;31; Unmarried; Divorced; United-States;99; >50K
 Private; Adm-clerical; Bachelors; Female; White;23; Not-in-family; Never-married; United-States;40; <=50K
 Private; Craft-repair; Assoc-acdm; Male; White;32; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Prof-specialty; Masters; Female; White;47; Wife; Married-civ-spouse; United-States;2; >50K
 Private; Craft-repair; HS-grad; Male; Black;51; Own-child; Divorced; United-States;40; <=50K
 Self-emp-not-inc; Other-service; HS-grad; Female; White;32; Not-in-family; Never-married; United-States;60; <=50K
 Private; Prof-specialty; Doctorate; Male; Asian-Pac-Islander;31; Not-in-family; Married-spouse-absent; China;60; <=50K
 Private; Other-service; 1st-4th; Male; White;51; Husband; Married-civ-spouse; Mexico;54; <=50K
 State-gov; Adm-clerical; Some-college; Female; White;22; Not-in-family; Never-married; United-States;40; <=50K
 Private; Exec-managerial; Prof-school; Male; White;46; Not-in-family; Never-married; United-States;50; >50K
 Private; Craft-repair; HS-grad; Male; White;47; Unmarried; Divorced; United-States;40; <=50K
 Private; Adm-clerical; HS-grad; Female; Black;44; Unmarried; Divorced; United-States;40; <=50K
 Private; Craft-repair; HS-grad; Male; White;42; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Craft-repair; Some-college; Male; White;31; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Craft-repair; HS-grad; Male; White;48; Other-relative; Divorced; United-States;40; <=50K
 Self-emp-not-inc; Farming-fishing; HS-grad; Male; White;32; Not-in-family; Divorced; United-States;65; <=50K
 Self-emp-inc; Exec-managerial; Some-college; Male; White;74; Husband; Married-civ-spouse; United-States;35; >50K
 Private; Craft-repair; HS-grad; Male; White;33; Husband; Married-civ-spouse; United-States;40; >50K
 State-gov; Prof-specialty; Masters; Male; White;33; Husband; Married-civ-spouse; United-States;50; >50K
 Self-emp-not-inc; Transport-moving; Some-college; Male; White;60; Husband; Married-civ-spouse; United-States;46; <=50K
 Private; Transport-moving; Some-college; Male; White;75; Husband; Married-civ-spouse; United-States;16; <=50K
 Private; Sales; Bachelors; Female; White;50; Unmarried; Never-married; United-States;32; <=50K
 Private; Farming-fishing; 10th; Male; White;18; Own-child; Never-married; United-States;27; <=50K
 Private; Other-service; Some-college; Female; White;19; Other-relative; Never-married; United-States;25; <=50K
 Private; Prof-specialty; Doctorate; Male; White;59; Husband; Married-civ-spouse; United-States;45; >50K
 Local-gov; Craft-repair; HS-grad; Male; White;46; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Other-service; HS-grad; Male; Black;35; Unmarried; Widowed; United-States;40; <=50K
 Private; Prof-specialty; 10th; Male; White;54; Unmarried; Divorced; United-States;68; >50K
 Private; Sales; Masters; Male; White;31; Husband; Married-civ-spouse; United-States;40; >50K
 Private; Other-service; HS-grad; Male; White;55; Husband; Married-civ-spouse; United-States;40; <=50K
 Local-gov; Adm-clerical; Prof-school; Male; Asian-Pac-Islander;50; Husband; Married-civ-spouse; Laos;40; >50K
 Private; Prof-specialty; Doctorate; Female; White;39; Unmarried; Divorced; United-States;80; <=50K
 Private; Machine-op-inspct; Some-college; Female; White;19; Not-in-family; Never-married; United-States;35; <=50K
 Private; Sales; Some-college; Female; White;19; Own-child; Never-married; United-States;20; <=50K
 Private; Machine-op-inspct; HS-grad; Male; White;56; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Craft-repair; Assoc-voc; Male; White;52; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Farming-fishing; 5th-6th; Male; White;31; Own-child; Never-married; Mexico;25; <=50K
 Private; Sales; HS-grad; Male; White;41; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Adm-clerical; Some-college; Female; Asian-Pac-Islander;44; Not-in-family; Divorced; United-States;37; <=50K
 Private; Sales; Masters; Male; White;49; Husband; Married-civ-spouse; United-States;40; >50K
 Self-emp-not-inc; Sales; HS-grad; Male; White;42; Husband; Married-civ-spouse; United-States;60; <=50K
 Private; Handlers-cleaners; HS-grad; Male; White;22; Own-child; Never-married; United-States;40; <=50K
 Private; Sales; Bachelors; Male; White;26; Husband; Married-civ-spouse; United-States;55; <=50K
 Local-gov; Adm-clerical; Some-college; Female; Amer-Indian-Eskimo;38; Own-child; Never-married; United-States;40; <=50K
 Private; Adm-clerical; Assoc-voc; Female; White;25; Unmarried; Divorced; United-States;40; <=50K
 Private; Protective-serv; Assoc-voc; Male; White;21; Not-in-family; Never-married; United-States;40; <=50K
 Private; Exec-managerial; Bachelors; Male; White;45; Husband; Married-civ-spouse; United-States;60; >50K
 Self-emp-not-inc; Prof-specialty; Prof-school; Male; White;44; Husband; Married-civ-spouse; United-States;50; >50K
 Private; Craft-repair; Some-college; Male; White;46; Husband; Married-civ-spouse; United-States;40; >50K
 Private; Protective-serv; HS-grad; Female; Black;40; Not-in-family; Divorced; United-States;40; <=50K
 Local-gov; Other-service; HS-grad; Male; White;48; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Craft-repair; 9th; Male; White;63; Husband; Married-civ-spouse; United-States;16; <=50K
 Self-emp-inc; Prof-specialty; Doctorate; Male; White;46; Not-in-family; Separated; United-States;35; <=50K
 Private; Sales; 9th; Male; White;46; Not-in-family; Divorced; United-States;35; <=50K
 Private; Other-service; Some-college; Female; White;33; Unmarried; Separated; El-Salvador;38; <=50K
 Private; Craft-repair; HS-grad; Male; White;25; Husband; Married-civ-spouse; United-States;45; <=50K
 Private; Machine-op-inspct; HS-grad; Male; White;36; Husband; Married-civ-spouse; United-States;85; <=50K
 Private; Handlers-cleaners; HS-grad; Male; White;26; Own-child; Never-married; United-States;40; <=50K
 Private; Transport-moving; HS-grad; Male; White;33; Husband; Married-civ-spouse; United-States;55; <=50K
 Private; Other-service; Assoc-acdm; Female; White;28; Not-in-family; Never-married; United-States;80; <=50K
 Private; Prof-specialty; Bachelors; Male; White;52; Husband; Married-civ-spouse; United-States;40; >50K
 Private; Craft-repair; HS-grad; Male; White;33; Not-in-family; Divorced; United-States;84; <=50K
 Private; Other-service; HS-grad; Female; White;40; Not-in-family; Divorced; United-States;35; <=50K
 Private; Adm-clerical; Some-college; Male; White;32; Husband; Married-civ-spouse; United-States;50; <=50K
 Private; Other-service; Some-college; Female; White;20; Own-child; Never-married; United-States;40; <=50K
 Private; Transport-moving; Some-college; Male; White;43; Husband; Married-civ-spouse; United-States;60; <=50K
 Private; Craft-repair; Bachelors; Male; White;43; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Handlers-cleaners; HS-grad; Male; White;35; Not-in-family; Never-married; United-States;40; <=50K
 Private; Tech-support; Some-college; Male; White;23; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Prof-specialty; Masters; Male; White;46; Husband; Married-civ-spouse; United-States;40; >50K
 Private; Transport-moving; Assoc-voc; Male; White;29; Husband; Married-civ-spouse; United-States;55; <=50K
 Private; Farming-fishing; 1st-4th; Male; White;52; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Exec-managerial; HS-grad; Female; White;27; Not-in-family; Never-married; United-States;50; <=50K
 Private; Adm-clerical; 10th; Female; White;17; Own-child; Never-married; United-States;20; <=50K
 Private; Transport-moving; 5th-6th; Male; White;26; Not-in-family; Never-married; Mexico;40; <=50K
 Local-gov; Handlers-cleaners; HS-grad; Male; White;20; Own-child; Never-married; United-States;40; <=50K
 Private; Craft-repair; HS-grad; Male; White;35; Unmarried; Divorced; United-States;40; <=50K
 Private; Adm-clerical; 10th; Male; Black;26; Not-in-family; Never-married; United-States;20; <=50K
 Private; Prof-specialty; Bachelors; Female; White;34; Wife; Married-civ-spouse; United-States;40; >50K
 Self-emp-not-inc; Farming-fishing; 7th-8th; Male; White;63; Husband; Married-civ-spouse; United-States;30; <=50K
 Private; Sales; HS-grad; Male; White;40; Husband; Married-civ-spouse; United-States;40; >50K
 Private; Adm-clerical; Some-college; Female; White;44; Unmarried; Divorced; United-States;40; <=50K
 Private; Sales; HS-grad; Female; Black;36; Unmarried; Divorced; United-States;25; <=50K
 Self-emp-not-inc; Craft-repair; HS-grad; Male; White;37; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Exec-managerial; Some-college; Male; White;29; Not-in-family; Never-married; United-States;45; <=50K
 Private; Craft-repair; 5th-6th; Male; White;37; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Sales; 11th; Female; White;44; Unmarried; Divorced; United-States;44; <=50K
 Self-emp-inc; Sales; Some-college; Male; White;54; Husband; Married-civ-spouse; United-States;54; >50K
 Federal-gov; Exec-managerial; Bachelors; Female; White;27; Not-in-family; Never-married; United-States;40; <=50K
 Private; Prof-specialty; Masters; Male; White;36; Husband; Married-civ-spouse; United-States;55; >50K
 Local-gov; Protective-serv; Some-college; Male; White;33; Husband; Married-civ-spouse; United-States;40; >50K
 Private; Tech-support; HS-grad; Male; White;37; Husband; Married-civ-spouse; United-States;80; >50K
 Local-gov; Adm-clerical; Some-college; Male; White;61; Husband; Married-civ-spouse; United-States;35; <=50K
 Private; Prof-specialty; Bachelors; Female; White;25; Not-in-family; Never-married; United-States;40; <=50K
 Private; Handlers-cleaners; Some-college; Female; White;20; Own-child; Never-married; United-States;6; <=50K
 Private; Handlers-cleaners; HS-grad; Male; Black;25; Own-child; Never-married; United-States;23; <=50K
 Self-emp-not-inc; Farming-fishing; 7th-8th; Male; White;36; Own-child; Never-married; United-States;75; <=50K
 Private; Adm-clerical; 7th-8th; Male; White;55; Husband; Married-civ-spouse; United-States;75; <=50K
 Private; Sales; Bachelors; Male; White;46; Not-in-family; Never-married; United-States;45; >50K
 Private; Exec-managerial; Some-college; Female; White;38; Own-child; Never-married; United-States;40; <=50K
 Private; Prof-specialty; Some-college; Female; White;43; Wife; Married-civ-spouse; United-States;40; >50K
 Private; Exec-managerial; Some-college; Male; White;34; Husband; Married-civ-spouse; United-States;40; <=50K
 Self-emp-not-inc; Exec-managerial; Masters; Male; White;37; Not-in-family; Never-married; United-States;60; <=50K
 Private; Handlers-cleaners; HS-grad; Male; Black;29; Not-in-family; Never-married; United-States;40; <=50K
 Private; Craft-repair; Some-college; Male; White;41; Husband; Married-civ-spouse; United-States;56; >50K
 Private; Prof-specialty; HS-grad; Female; White;22; Own-child; Never-married; United-States;20; <=50K
 Private; Exec-managerial; Assoc-voc; Male; White;42; Husband; Married-civ-spouse; United-States;55; >50K
 Private; Exec-managerial; Masters; Female; White;54; Wife; Married-civ-spouse; United-States;55; >50K
 Federal-gov; Adm-clerical; HS-grad; Female; Black;42; Unmarried; Separated; United-States;40; <=50K
 Private; Handlers-cleaners; HS-grad; Male; White;52; Husband; Married-civ-spouse; United-States;40; >50K
 Private; Exec-managerial; Bachelors; Male; White;32; Not-in-family; Never-married; United-States;40; <=50K
 Private; Exec-managerial; Bachelors; Male; Black;44; Husband; Married-civ-spouse; United-States;50; >50K
 Private; Sales; Bachelors; Male; White;29; Own-child; Never-married; United-States;40; <=50K
 Private; Craft-repair; Some-college; Female; White;24; Own-child; Never-married; United-States;45; <=50K
 Private; Machine-op-inspct; 10th; Male; White;31; Husband; Married-civ-spouse; United-States;40; <=50K
 Self-emp-not-inc; Prof-specialty; Bachelors; Female; White;43; Unmarried; Never-married; United-States;50; <=50K
 Private; Machine-op-inspct; HS-grad; Male; White;42; Husband; Married-civ-spouse; Mexico;40; <=50K
 Private; Craft-repair; HS-grad; Male; White;29; Husband; Married-civ-spouse; United-States;45; <=50K
 Private; Prof-specialty; Bachelors; Female; White;31; Not-in-family; Divorced; United-States;40; <=50K
 Private; Craft-repair; 9th; Male; Other;31; Not-in-family; Never-married; United-States;45; <=50K
 Self-emp-not-inc; Sales; Bachelors; Female; Asian-Pac-Islander;43; Wife; Married-civ-spouse; South;60; <=50K
 Private; Handlers-cleaners; 11th; Male; White;18; Own-child; Never-married; United-States;12; <=50K
 Private; Sales; 11th; Male; White;17; Own-child; Never-married; United-States;15; <=50K
 Private; Craft-repair; Assoc-voc; Male; White;22; Own-child; Never-married; United-States;50; <=50K
 Private; Other-service; Some-college; Female; White;21; Own-child; Never-married; United-States;30; <=50K
 State-gov; Protective-serv; HS-grad; Male; White;25; Own-child; Married-civ-spouse; United-States;35; <=50K
 Private; Handlers-cleaners; HS-grad; Male; Black;27; Husband; Married-civ-spouse; United-States;80; >50K
 Private; Other-service; 1st-4th; Male; Black;72; Not-in-family; Divorced; United-States;40; <=50K
 Private; Sales; HS-grad; Male; White;20; Other-relative; Never-married; United-States;60; <=50K
 Private; Prof-specialty; HS-grad; Male; White;26; Husband; Married-civ-spouse; United-States;50; <=50K
 Self-emp-not-inc; Exec-managerial; Some-college; Male; White;51; Husband; Married-civ-spouse; United-States;99; >50K
 Private; Adm-clerical; HS-grad; Female; White;30; Own-child; Never-married; United-States;40; <=50K
 Private; Other-service; Some-college; Male; Asian-Pac-Islander;34; Husband; Married-civ-spouse; Philippines;40; <=50K
 Private; Transport-moving; HS-grad; Male; White;20; Other-relative; Never-married; United-States;40; <=50K
 Private; Other-service; Some-college; Female; White;20; Not-in-family; Never-married; United-States;40; <=50K
 Private; Craft-repair; 10th; Male; Other;42; Own-child; Married-civ-spouse; United-States;43; >50K
 Private; Machine-op-inspct; Some-college; Male; White;39; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Adm-clerical; Some-college; Female; White;34; Other-relative; Never-married; United-States;40; <=50K
 Federal-gov; Exec-managerial; Bachelors; Male; White;47; Husband; Married-civ-spouse; United-States;40; >50K
 Private; Other-service; HS-grad; Female; White;40; Other-relative; Separated; United-States;25; <=50K
 Self-emp-inc; Prof-specialty; Prof-school; Male; White;57; Husband; Married-civ-spouse; United-States;36; >50K
 Self-emp-not-inc; Prof-specialty; Prof-school; Male; White;47; Not-in-family; Never-married; United-States;40; >50K
 Private; Handlers-cleaners; Bachelors; Male; White;41; Not-in-family; Never-married; United-States;40; <=50K
 Private; Exec-managerial; Bachelors; Male; White;30; Not-in-family; Never-married; United-States;60; >50K
 Private; Craft-repair; Some-college; Male; White;22; Own-child; Never-married; United-States;30; <=50K
 Private; Other-service; Some-college; Female; White;37; Wife; Married-civ-spouse; United-States;40; <=50K
 Private; Handlers-cleaners; 7th-8th; Male; Black;47; Other-relative; Divorced; United-States;40; <=50K
 Private; Tech-support; Some-college; Male; White;42; Husband; Married-civ-spouse; United-States;20; >50K
 Private; Sales; Bachelors; Male; White;36; Husband; Married-civ-spouse; United-States;40; >50K
 Private; Prof-specialty; Assoc-voc; Female; Asian-Pac-Islander;51; Unmarried; Widowed; United-States;40; <=50K
 Private; Other-service; HS-grad; Male; White;46; Not-in-family; Divorced; United-States;25; <=50K
 Self-emp-not-inc; Sales; HS-grad; Male; White;37; Husband; Married-civ-spouse; United-States;45; <=50K
 Private; Craft-repair; 1st-4th; Male; White;33; Not-in-family; Married-civ-spouse; Mexico;32; <=50K
 Private; Exec-managerial; Bachelors; Female; White;39; Unmarried; Divorced; United-States;45; <=50K
 Private; Tech-support; Bachelors; Male; White;25; Unmarried; Never-married; United-States;40; <=50K
 Private; Exec-managerial; Bachelors; Female; White;25; Own-child; Never-married; United-States;60; <=50K
 Self-emp-not-inc; Exec-managerial; Assoc-acdm; Male; White;40; Husband; Married-civ-spouse; United-States;60; <=50K
 Private; Prof-specialty; Some-college; Male; White;40; Husband; Married-civ-spouse; United-States;40; >50K
 Private; Exec-managerial; Bachelors; Male; White;55; Not-in-family; Separated; United-States;45; >50K
 Private; Other-service; Some-college; Male; Black;28; Not-in-family; Never-married; United-States;40; <=50K
 Self-emp-inc; Sales; Bachelors; Male; White;66; Husband; Married-civ-spouse; United-States;26; >50K
 Private; Handlers-cleaners; HS-grad; Male; White;20; Not-in-family; Never-married; United-States;40; <=50K
 Private; Handlers-cleaners; Some-college; Male; White;40; Not-in-family; Divorced; United-States;40; <=50K
 Private; Craft-repair; Bachelors; Male; White;48; Husband; Married-civ-spouse; United-States;45; >50K
 Private; Other-service; 10th; Female; Black;32; Unmarried; Divorced; United-States;23; <=50K
 Private; Adm-clerical; Assoc-acdm; Female; White;37; Not-in-family; Never-married; United-States;40; <=50K
 Private; Exec-managerial; Some-college; Male; Asian-Pac-Islander;33; Own-child; Never-married; Philippines;40; <=50K
 Private; Adm-clerical; HS-grad; Female; White;49; Unmarried; Separated; United-States;40; <=50K
